uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:表記,schema:category,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri
http://example.org/data/97f168159a7200b07a70e1a3be2fc43a,97f168159a7200b07a70e1a3be2fc43a,,仁-126,西大寺,西大寺,寺,大和国,現奈良県奈良市西大寺芝町一丁目。秋篠川西方に所在する真言律宗総本山。本尊釈迦如来。,135.779498,34.693614,http://geohash.org/xn0t3ez8gw7u,"6329,8526,4234,3298",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=6329,8526,4234,3298","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/6329,8526,4234,3298/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/5ec1c8ac0cc503a32114e6d03ade9182,5ec1c8ac0cc503a32114e6d03ade9182,,仁-126,（付箋）「於論所之次第者、無相違絵図也、於山岳者令参差、其故者、於当知行之山地者、委不及注進之申之間、凡山岳相違之」,（付箋）「於論所之次第者、無相違絵図也、於山岳者令参差、其故者、於当知行之山地者、委不及注進之申之間、凡山岳相違之」,付箋,,,,,,"1279,328,1140,4084",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=1279,328,1140,4084","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/1279,328,1140,4084/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/870d8baae8dbcff9aa91e503436deb01,870d8baae8dbcff9aa91e503436deb01,,仁-126,（付箋）「西大寺方申云、於此樋者、一向不打塞之、自然破損、任大治　宣旨、於山地等者、至于今通用来者也、而如此掠申之、無窮虚誕也」,（付箋）「西大寺方申云、於此樋者、一向不打塞之、自然破損、任大治　宣旨、於山地等者、至于今通用来者也、而如此掠申之、無窮虚誕也」,付箋,,,,,,"12267,4766,2471,934",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=12267,4766,2471,934","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/12267,4766,2471,934/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/29e9b593a646f9f98743b08e088eedde,29e9b593a646f9f98743b08e088eedde,,仁-126,（付箋）「西大寺方申云、興昌菩薩寛元五年所被掘也、西大寺別当東光院法印、小別当富美荘霊山寺住浄観房也、蓮覚房ト云ハ、建長年中南戒壇定宗法印之時執行也、不知案内申状ト申之」,（付箋）「西大寺方申云、興昌菩薩寛元五年所被掘也、西大寺別当東光院法印、小別当富美荘霊山寺住浄観房也、蓮覚房ト云ハ、建長年中南戒壇定宗法印之時執行也、不知案内申状ト申之」,付箋,,,,,,"13494,7096,841,3823",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=13494,7096,841,3823","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/13494,7096,841,3823/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/09c68bc8f514f3914963282228daa000,09c68bc8f514f3914963282228daa000,,仁-126,（付箋）「秋篠方申云、此池者秋篠寺寺僧良印蓮覚房為西大寺執行之時、両方合力池也、而一向為西大寺進止之由、被論申之條、無其謂之次第ト申之」,（付箋）「秋篠方申云、此池者秋篠寺寺僧良印蓮覚房為西大寺執行之時、両方合力池也、而一向為西大寺進止之由、被論申之條、無其謂之次第ト申之」,付箋,,,,,,"15797,6608,616,2721",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=15797,6608,616,2721","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/15797,6608,616,2721/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/81f855f1d0d9c2039ad56bc240b1ed72,81f855f1d0d9c2039ad56bc240b1ed72,,仁-126,（付箋）「秋篠方申云、於此池者、四分三ハ秋篠寺進退、今四分一ハ西大寺 進退之由、見于大治宣旨、而当時為西大寺、一向被打塞此樋之由、申之」,（付箋）「秋篠方申云、於此池者、四分三ハ秋篠寺進退、今四分一ハ西大寺 進退之由、見于大治宣旨、而当時為西大寺、一向被打塞此樋之由、申之」,付箋,,,,,,"17347,6190,2689,604",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=17347,6190,2689,604","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/17347,6190,2689,604/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/d7ad35f51aa6f943a9b88b8206282162,d7ad35f51aa6f943a9b88b8206282162,,仁-126,南,南,方位,,,,,,"386,7409,362,505",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=386,7409,362,505","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/386,7409,362,505/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/8982e784d1d7f5629b04091dee644d5d,8982e784d1d7f5629b04091dee644d5d,,仁-126,東,東,方位,,,,,,"14138,13736,523,415",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=14138,13736,523,415","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/14138,13736,523,415/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/bfb87886ac081ee170aebbe9185a0264,bfb87886ac081ee170aebbe9185a0264,,仁-126,北,北,方位,,,,,,"26739,6851,218,487",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=26739,6851,218,487","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/26739,6851,218,487/200,/0/default.jpg",http://example.org/data/仁-126
http://example.org/data/08c103419a0654b6b86955d81ca7aa26,08c103419a0654b6b86955d81ca7aa26,,仁-126,西,西,方位,,,,,,"14353,111,559,379",https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/manifest.json,https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1,"https://nakamura196.github.io/shoen/iiif/7dd68fbd778e5f052b399d38b229d876/canvas/p1#xywh=14353,111,559,379","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_104ni_/126/00000001.tif/14353,111,559,379/200,/0/default.jpg",http://example.org/data/仁-126
