uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:表記,schema:category,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri
http://example.org/data/4aeb3b4bd9980145e308b8c7b47149ab,4aeb3b4bd9980145e308b8c7b47149ab,,以-335,井上庄,井上庄内,,紀伊国那賀郡,井上本庄。紀ノ川北岸の河岸段丘上にあった荘園で、長田庄ともいう。東は粉河庄、西は井上新庄。古くは摂関家領荘園であったが、山城随心院に寄進され、室町時代に粉河寺領となった。,135.391638,34.282432,http://geohash.org/xn070bvjtud2,"4551,9116,419,452",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=4551,9116,419,452","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/4551,9116,419,452/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/bd62e3d90576b8d1aa2b98284165d1ad,bd62e3d90576b8d1aa2b98284165d1ad,,以-335,志野川,志野川,,紀伊国那賀郡,現松井川。その上流にあたる。,135.388083,34.284156,http://geohash.org/xn070c4xdvzs,"1330,2720,419,892",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=1330,2720,419,892","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/1330,2720,419,892/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/b08f1f9e1ca5f98861c7c970bde71430,b08f1f9e1ca5f98861c7c970bde71430,,以-335,志野川,志野川,,紀伊国那賀郡,現松井川。その上流にあたる。,135.388083,34.284156,http://geohash.org/xn070c4xdvzs,"1730,3783,634,830",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=1730,3783,634,830","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/1730,3783,634,830/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/903cdf80b67bc1aa86d3b39cf7f2b8e5,903cdf80b67bc1aa86d3b39cf7f2b8e5,,以-335,新庄,新庄,朱筆,紀伊国那賀郡,井上新庄。志野庄ともいう。井上本庄の西に位置し、同庄より分離した荘園。,135.3853,34.284468,http://geohash.org/xn070c29d0h9,"1676,3077,279,462",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=1676,3077,279,462","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/1676,3077,279,462/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/45cb78a923fad4e9751fb23b16d8143e,45cb78a923fad4e9751fb23b16d8143e,,以-335,新庄,新庄,朱筆,紀伊国那賀郡,井上新庄。志野庄ともいう。井上本庄の西に位置し、同庄より分離した荘園。,135.3853,34.284468,http://geohash.org/xn070c29d0h9,"799,3115,448,546",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=799,3115,448,546","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/799,3115,448,546/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/02bdabfabea770c01103ac91d686fb73,02bdabfabea770c01103ac91d686fb73,,以-335,北村在家,北村在家,,紀伊国那賀郡,現在の和歌山県紀の川市北長田にあたるとされる。,135.391638,34.282432,http://geohash.org/xn070bvjtud2,"2915,2928,1111,464",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=2915,2928,1111,464","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/2915,2928,1111,464/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/c176fb0c3631b419393f41faf13f9c63,c176fb0c3631b419393f41faf13f9c63,,以-335,嶋村在家,嶋村在家,在家,紀伊国那賀郡,現和歌山県紀の川市嶋。深田村の南、紀ノ川の北岸に位置し、村内を東から西へ藤崎井用水が流れる。東は松井村、南は紀ノ川を挟んで新在家村、西は上田井村に接する。,135.390472,34.266406,http://geohash.org/xn06byh269j1,"4788,7993,1004,741",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=4788,7993,1004,741","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/4788,7993,1004,741/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/62da5e18febb52766967eda26694b71f,62da5e18febb52766967eda26694b71f,,以-335,粉河寺領,（朱筆）「粉河寺領」,朱筆,紀伊国那賀郡,粉河寺周辺部を指す。,135.405919,34.280954,http://geohash.org/xn0710xt48gp,"7161,5991,391,884",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=7161,5991,391,884","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/7161,5991,391,884/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/5a1e2f789e786e3c49c2582370b88c41,5a1e2f789e786e3c49c2582370b88c41,,以-335,荒間在家,荒間在家,在家,紀伊国那賀郡,現和歌山県紀の川市長田中にあたる地域とされる。,135.390585,34.27551,http://geohash.org/xn06bzsmm61m,"4267,5292,692,519",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=4267,5292,692,519","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/4267,5292,692,519/200,/0/default.jpg",http://example.org/data/以-335
http://example.org/data/7fae65f5bebc84ee9b341ff2cb2f46c0,7fae65f5bebc84ee9b341ff2cb2f46c0,,以-335,深田河,深田河,,紀伊国那賀郡,現松井川。その中流域を指したものと思われる。,135.395068,34.274985,http://geohash.org/xn06bzxdmb21,"5864,5979,360,497",https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/manifest.json,https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1,"https://nakamura196.github.io/shoen/iiif/dfb4a7727796fa20fc4823b4a50c52e7/canvas/p1#xywh=5864,5979,360,497","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_101i_/335/00000001.tif/5864,5979,360,497/200,/0/default.jpg",http://example.org/data/以-335
