uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:表記,schema:category,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri
http://example.org/data/305e009864f45cd24abc7a83b6ec3099,305e009864f45cd24abc7a83b6ec3099,,保-313-1,古墻,古墻,,,,,,,"1615,646,563,687",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=1615,646,563,687","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/1615,646,563,687/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/68196df142fabe4f18d56a14f01c16bd,68196df142fabe4f18d56a14f01c16bd,,保-313-1,吉利,吉利,,,,,,,"2941,733,461,686",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=2941,733,461,686","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/2941,733,461,686/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/a218f2ba6b676e937b7f1f96e046e230,a218f2ba6b676e937b7f1f96e046e230,,保-313-1,ハメヤノ,ハメヤノ,,,,,,,"3936,733,417,625",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=3936,733,417,625","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/3936,733,417,625/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/f63b9ac54587ec5022fa52cb88d57c28,f63b9ac54587ec5022fa52cb88d57c28,,保-313-1,イワヤタ,イワヤタ,,,,,,,"5174,967,236,599",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=5174,967,236,599","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/5174,967,236,599/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/414d5d6858611d361170bf807e66f46d,414d5d6858611d361170bf807e66f46d,,保-313-1,山里名,山里名,,,,,,,"1090,5345,905,594",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=1090,5345,905,594","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/1090,5345,905,594/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/95f111c72b34fefc8a70a895a6d471c1,95f111c72b34fefc8a70a895a6d471c1,,保-313-1,山里田,山里田,田,,,,,,"4475,4535,1030,1009",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=4475,4535,1030,1009","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/4475,4535,1030,1009/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/ce9576d82d18bf5ec3230a71b60b8cc5,ce9576d82d18bf5ec3230a71b60b8cc5,,保-313-1,吉富名,吉富名,,,,,,,"917,7899,737,461",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=917,7899,737,461","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/917,7899,737,461/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/d3b2bd6599be362c3ee5a0b7af25e3e4,d3b2bd6599be362c3ee5a0b7af25e3e4,,保-313-1,吉富内正富田,吉富内正富田,,,,,,,"3140,6904,1135,443",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=3140,6904,1135,443","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/3140,6904,1135,443/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/f58fed3fd44d5186cd23f4a361f28233,f58fed3fd44d5186cd23f4a361f28233,,保-313-1,吉富内正富薗,吉富内正富薗,薗,,,,,,"4600,6930,788,598",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=4600,6930,788,598","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/4600,6930,788,598/200,/0/default.jpg",http://example.org/data/保-313-1
http://example.org/data/7433ff6cc60b91c2080574f08c7054d7,7433ff6cc60b91c2080574f08c7054d7,,保-313-1,吉利,吉利,,,,,,,"5340,5943,381,663",https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/manifest.json,https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1,"https://nakamura196.github.io/shoen/iiif/cf381bcf6a0048c88ee612b1fea35ddf/canvas/p1#xywh=5340,5943,381,663","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_105ho_/313/1/00000001.tif/5340,5943,381,663/200,/0/default.jpg",http://example.org/data/保-313-1
