uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:表記,schema:category,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri
http://example.org/data/e63429afb6c2f568b7875c486a6cff4f,e63429afb6c2f568b7875c486a6cff4f,,波-305,大路,大路,,紀伊国,近世、和歌山城下と大和・伊勢方面を結ぶ要道。,135.405593,34.268761,http://geohash.org/xn06cnrq5001,"3429,3636,437,481",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=3429,3636,437,481","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/3429,3636,437,481/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/4c6d0027751eccd93ad0461e79ac6e19,4c6d0027751eccd93ad0461e79ac6e19,,波-305,大河,大河,河,紀伊国,紀ノ川にあたる。,135.406709,34.264771,http://geohash.org/xn06cm8nv020,"3570,4148,1181,407",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=3570,4148,1181,407","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/3570,4148,1181,407/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/8fd3c075f7a477469058d38e4d69dc43,8fd3c075f7a477469058d38e4d69dc43,,波-305,風社,新号風社是也,,紀伊国,現風市森神社。和歌山県紀の川市嶋にある。,135.396155,34.267306,http://geohash.org/xn06cn0mx0fd,"5112,3409,474,879",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=5112,3409,474,879","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/5112,3409,474,879/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/804814ec65a810b636f992d1b7b276b9,804814ec65a810b636f992d1b7b276b9,,波-305,松井,松井,,紀伊国,風市森神社付近に松の井という井戸があり、それに由来する地名とされる。,135.397143,34.268508,http://geohash.org/xn06cn3hw0gk,"4658,3717,407,601",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=4658,3717,407,601","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/4658,3717,407,601/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/cc36f0c748e512e74e188da4b3e838ee,cc36f0c748e512e74e188da4b3e838ee,,波-305,深田川　新称門河是也,深田川　新称門河是也,,,,,,,"5559,2042,474,1326",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=5559,2042,474,1326","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/5559,2042,474,1326/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/3adf23a27beb177ba080447532d86c41,3adf23a27beb177ba080447532d86c41,,波-305,小川寺,小川寺,,紀伊国,粉河寺。和泉山脈の南側丘陵、風猛山の南麓に位置する。風猛山（古くは補陀落山）と号し、粉河観音宗の本山。,135.405919,34.280954,http://geohash.org/xn0710xt48gp,"5904,2417,625,843",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=5904,2417,625,843","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/5904,2417,625,843/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/b08ca18ba3cd225bdc0652f77241c68d,b08ca18ba3cd225bdc0652f77241c68d,,波-305,松尾池,松尾池,池,,,,,,"1202,1771,662,742",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=1202,1771,662,742","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/1202,1771,662,742/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/86fd0e504bb751d31ebd3f243db20dac,86fd0e504bb751d31ebd3f243db20dac,,波-305,小竹中尾,小竹中尾,,,,,,,"766,770,1337,916",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=766,770,1337,916","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/766,770,1337,916/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/13d79fc5c20beb5265ba95dbc8cea247,13d79fc5c20beb5265ba95dbc8cea247,,波-305,小竹河,小竹河,河,,,,,,"2225,1285,590,815",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=2225,1285,590,815","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/2225,1285,590,815/200,/0/default.jpg",http://example.org/data/波-305
http://example.org/data/59a1462caebfd17805ddbff12d528132,59a1462caebfd17805ddbff12d528132,,波-305,北峯,北峯,,,,,,,"3321,487,1439,945",https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/manifest.json,https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1,"https://nakamura196.github.io/shoen/iiif/ea6905a866f4f1fe04515b8a286dc593/canvas/p1#xywh=3321,487,1439,945","https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata/0M0/_103ha_/305/00000001.tif/3321,487,1439,945/200,/0/default.jpg",http://example.org/data/波-305
